GENEID	GSM461177_untreat_paired
FBGN0250732	780
FBTI0060344	0
FBGN0286036	0
FBGN0037409	0
FBGN0027948	4842
FBGN0038675	141
FBGN0264900	0
FBGN0000500	1
FBGN0261504	1
FBGN0037610	133
FBGN0053095	0
FBGN0038070	1
FBGN0267571	3
FBGN0261859	780
FBGN0262389	0
FBGN0037363	1278
FBGN0039552	0
FBGN0267797	0
FBGN0039732	91
FBGN0038224	632
FBGN0264776	137
FBGN0038525	0
FBGN0262397	0
FBTI0019351	0
FBTI0019410	0
FBGN0262899	0
FBGN0261436	520
FBTI0063117	0
FBGN0262378	0
FBGN0038814	0
FBGN0286871	0
FBGN0267809	0
FBGN0038279	0
FBGN0037625	0
FBGN0053093	0
FBTI0062189	0
FBTI0019436	2
FBGN0051579	0
FBGN0027574	310
FBGN0260746	681
FBGN0037930	1238
FBGN0038709	0
FBGN0027095	997
FBTR0309605_DF_NRG	0
FBGN0051450	125
FBGN0038774	0
FBGN0037794	132
FBGN0039229	1121
FBGN0065064	12
FBTI0019348	0
FBGN0038737	82
FBGN0262431	0
FBTI0063768	0
FBGN0037399	0
FBTI0019411	0
FBTI0020393	1
FBGN0039291	43
FBGN0037547	1
FBGN0038966	217
FBGN0037690	3
FBTI0019321	1
FBGN0038783	0
FBGN0011998	0
FBGN0038055	200
FBGN0261453	0
FBGN0261792	229
FBGN0040606	0
FBGN0037709	170
FBTI0059826	0
FBGN0051106	0
FBTI0019291	30
FBGN0039131	2
FBGN0267686	0
FBTI0062552	0
FBTI0061858	0
FBGN0037777	30
FBGN0046685	819
FBGN0259733	0
FBGN0266388	2
FBTI0061730	0
FBGN0267561	0
FBGN0038993	8
FBGN0262971	0
FBGN0039313	0
FBGN0004395	576
FBGN0051201	1
FBGN0266674	263
FBGN0267767	0
FBGN0039019	167
FBTI0062939	0
FBGN0039172	764
RR46358_TRANSPOSABLE_ELEMENT	6
FBGN0011290	324
FBGN0262384	0
FBGN0283626	0
FBGN0267816	0
FBGN0037747	198
FBGN0037751	106
FBGN0039486	0
FBGN0039228	3
FBGN0039073	111
FBGN0040256	69
FBGN0037888	3
FBGN0039404	110
FBGN0264905	0
FBGN0038342	2
FBGN0005674	2685
FBGN0266229	0
FBGN0011768	1216
FBGN0265449	0
FBGN0037917	444
FBGN0086365	2592
FBGN0017567	657
FBGN0039290	213
FBGN0267208	0
FBTI0019361	0
FBGN0051287	5
FBGN0038577	153
FBGN0037720	926
FBGN0038033	0
FBGN0001112	1
FBGN0038344	1463
FBGN0037678	16
FBGN0267709	0
RR48352_TRANSPOSABLE_ELEMENT	10
FBGN0051072	379
FBGN0013277	2
FBGN0037718	1680
FBGN0039520	0
FBTI0062070	0
FBGN0286071	227
FBGN0266701	1
FBGN0265197	1
FBGN0003002	0
FBGN0012000	0
FBGN0264428	0
FBGN0266399	54
FBGN0041588	504
FBGN0039557	321
FBTI0020309	0
FBGN0051028	1
FBGN0266598	12
FBGN0037424	0
FBGN0038725	24
FBGN0263757	0
FBGN0039277	1
FBGN0039302	4245
FBGN0039461	161
FBGN0037894	962
FBGN0039799	1
FBGN0262290	0
FBGN0039817	0
FBGN0051224	1593
FBGN0054008	12
FBGN0013276	1
FBGN0039714	1844
FBGN0037832	0
FBGN0263409	0
FBGN0037802	51
FBGN0004781	0
FBGN0037502	0
FBGN0051230	3
FBGN0039328	109
FBGN0038204	1
FBGN0285912	34
FBGN0051116	83
FBGN0263835	0
FBGN0266672	958
FBGN0037292	0
FBGN0002735	4
FBGN0017550	866
FBTI0062066	0
FBTI0059750	0
FBGN0037679	87
FBGN0037837	0
FBGN0040609	153
